Status;ID;UID;Título;Usuário ;Observação;Plano ;RTSP
offline;787549;L56253396;fundao;Adiministrativo;;7 Dias;
offline;779551;7KOM1007136NU;posto de saude;Adiministrativo;;7 Dias;
offline;779566;7KOM1007146B8;posto de saude;Adiministrativo;;7 Dias;
offline;779596;7KOM1007132O1;posto de saude;Adiministrativo;;7 Dias;
offline;779597;7KOM1007131OO;posto de saude;Adiministrativo;;7 Dias;
offline;781134;7KOM1006830DV;saude;Adiministrativo;;7 Dias;
offline;783497;7KOM1008298K1;Escola Municipal João Francisco da silva - R;Adiministrativo;;7 Dias;
offline;784989;L56253376;A Escola Municipal Almiro Paraíso - Patio;Adiministrativo;;7 Dias;
offline;785056;L55628797;CMEI Conego Antonio Mendes;Adiministrativo;;7 Dias;
offline;785623;7KOM1006829O1;saude;Adiministrativo;;7 Dias;
offline;785628;7KOM1007119X1;saude;Adiministrativo;;7 Dias;
offline;779192;L55628764;Escola Municipal Professor Paulo Mário Del Giudice;Adiministrativo;;7 Dias;
offline;809824;L56253922;prefeitura - Patio 01;Adiministrativo;;7 Dias;
offline;812461;L54503040;Prefeitura rua;Adiministrativo;;7 Dias;
offline;818730;L56253991;prefeitura entrada;Adiministrativo;;7 Dias;
offline;821319;aL56253447;Estação;Adiministrativo;;7 Dias;
offline;823614;aaL56253442;Posto 1;Adiministrativo;;7 Dias;
offline;823617;L56254170;Posto 2;Adiministrativo;;7 Dias;
offline;823619;L56254202;Posto 4;Adiministrativo;;7 Dias;
offline;825617;L52716058;UAI Entrada;Adiministrativo;;7 Dias;
offline;832609;5;evento 05;Adiministrativo;;7 Dias;
offline;752745;L43379293;Colônia Vaz de Melo, Zonoozes;Adiministrativo;;7 Dias;
offline;745583;L54503217;Escola Municipal Doutor Januário - R. José dos Santos, 137.;Adiministrativo;;7 Dias;
offline;745591;L52715958;Escola Municipal Doutor Januário;Adiministrativo;;7 Dias;
offline;745648;L52715668;Escola Municipal Doutor Januário;Adiministrativo;;7 Dias;
offline;745655;L52715991;Escola Municipal Doutor Januário - R. José dos Santos, 137.;Adiministrativo;;7 Dias;
offline;746223;L54502904;PSF Bom Jesus -;Adiministrativo;;7 Dias;
offline;747313;L54502866;CMEI Professora Therezinha Mucci Xavier - R. Bernardes Filho, 497;Adiministrativo;;7 Dias;
offline;752025;L34845285;Escola Dr. Athur Bernardes - Papa Paulo I 60, Novo Silvestre. R;Adiministrativo;;7 Dias;
offline;752730;L34845284;Centro de Zoonoses de Viçosa;Adiministrativo;;7 Dias;
offline;752739;L34845634;Colônia Vaz de Melo, Zona Rural, Zoonoses;Adiministrativo;;7 Dias;
offline;709762;K47867602;Rodoviária, Saida onibus;Adiministrativo;;7 Dias;
offline;752746;L34845698;Colônia Vaz de Melo, Zoonoses;Adiministrativo;;7 Dias;
offline;752757;L43380388;Escola Municipal Padre Francisco Jose da Silva - Patio;Adiministrativo;;7 Dias;
offline;752825;L34845001;Zoonoses - Corredor central;Adiministrativo;;7 Dias;
offline;752826;L34845009;Zoonoses portão de entrada - Colônia Vaz de melo;Adiministrativo;;7 Dias;
offline;752831;L34844715;Zoonoses - Secretaria;Adiministrativo;;7 Dias;
offline;752832;L34845642;Colônia Vaz de Melo, Zona Rural, Viçosa -Zoonoses;Adiministrativo;;7 Dias;
offline;755031;L54502610;EMMEL - Patio;Adiministrativo;;7 Dias;
offline;758467;L34845280;escola professor pedro gomide filho;Adiministrativo;;7 Dias;
offline;779188;L55628152;Escola Municipal Professor Paulo Mário Del Giudice;Adiministrativo;;7 Dias;
